ID	N1	N2	N3	CA4	CA5	CA6	N7	N8	N9	N10	CA11	CA12	CA13	CA14
NM_170679	2160	2630	5745	1507	112	1172	1362	1084	2651	798	1824	1113	777	3659
NM_170681	100	130	297	115	30	32	335	229	801	168	559	364	240	1114
NM_170686	209	155	449	235	33	147	497	372	775	233	654	745	272	1034
NM_170691	265	241	773	212	40	141	501	408	1225	256	830	650	354	1698
NM_170692	129	159	407	232	33	116	637	386	1100	469	1333	1529	5413	1915
NM_170695	206	242	666	332	21	343	580	258	796	135	864	617	720	1654
NM_170696	792	1145	1358	41	24	12	889	903	2134	425	2565	138	28	524
NM_170697	749	1067	1267	37	10	12	841	870	2016	410	2475	133	25	493
NM_170706	22	30	168	10	2	18	46	36	46	12	16	97	918	57
NM_170707	1605	1358	3191	3066	8609	2448	3056	2718	4403	1588	14976	19007	14717	10579
NM_170708	1469	1224	2885	2765	7287	2042	2919	2612	4220	1524	14350	18185	14072	10070
NM_170709	90	179	479	108	4	57	242	321	781	96	443	248	259	804
NM_170710	6	7	35	2	0	1	55	40	104	14	19	4	8	32
NM_170711	609	689	1574	1455	3882	2573	634	492	880	356	1441	2805	1702	2779
NM_170712	328	259	598	292	598	524	289	203	472	117	631	619	357	1003
NM_170713	330	262	614	293	679	528	302	216	495	122	652	649	377	1038
NM_170714	333	260	604	291	610	524	302	207	507	120	647	643	386	1047
NM_170721	35	44	92	56	4	7	186	119	410	24	205	215	303	952
NM_170722	55	79	126	52	135	39	211	158	246	127	376	497	280	551
NM_170725	87	94	247	113	5	67	158	94	315	67	218	132	161	381
NM_170726	35	43	155	309	324	62	136	72	224	69	186	1507	129	329
NM_170731	12	54	108	11	0	2	31	27	128	2	58	20	0	178
NM_170732	12	54	108	11	0	2	31	27	127	2	58	20	0	178
NM_170733	12	54	108	11	0	2	35	28	131	2	60	20	0	180
NM_170734	13	54	108	11	0	2	31	27	131	2	58	20	0	182
NM_170735	13	54	108	11	0	2	34	29	127	4	58	20	0	184
NM_170736	531	641	776	228	67	46	820	502	2713	341	484	734	120	498
NM_170737	515	596	753	223	67	46	807	495	2591	334	480	728	117	502
NM_170738	503	429	892	922	1114	461	298	267	690	193	630	690	486	1325
NM_170739	517	437	899	953	1120	471	333	277	752	206	670	762	505	1470
NM_170740	154	167	565	144	14	132	481	218	507	191	228	323	576	1199
NM_170743	21	28	97	114	65	9	127	82	133	53	133	564	203	523
NM_170744	153	167	595	418	430	315	764	389	496	269	846	6675	3051	2751
NM_170746	685	764	1575	824	2112	488	629	623	1776	389	987	843	1167	2445
NM_170750	226	340	654	337	12	172	535	423	983	218	978	385	1384	1284
NM_170753	27	36	61	42	4	66	87	71	163	47	80	126	103	216
NM_170754	577	301	664	130	188	186	964	474	1568	201	705	1213	166	1469
NM_170769	123	100	181	54	67	138	63	32	86	52	90	37	25	61
NM_170774	346	503	1583	194	21	72	1721	1028	1846	720	1432	1090	740	3667
NM_170776	11	23	46	46	58	44	50	21	43	61	34	78	15	156
NM_170780	11	22	70	10	0	9	57	55	156	21	69	14	70	155
NM_170782	49	44	203	17	27	16	283	335	218	41	122	90	39	671
NM_170783	209	211	334	262	19	208	274	275	596	199	437	201	329	905
NM_170784	259	305	632	275	51	232	389	355	1025	222	635	408	1292	895
NM_171825	14	14	14	3	5	7	18	11	51	1	32	72	4	46
NM_171827	152	186	403	111	24	35	109	92	120	83	112	36	593	411
NM_171829	33	36	179	41	1	162	43	30	62	12	28	96	73	234
NM_171830	5	2	32	4	0	19	23	9	41	8	4	19	20	142
NM_171846	61	113	213	124	77	46	99	58	236	81	164	175	302	580
NM_171982	161	195	413	122	147	80	505	372	760	207	677	1844	479	1144
NM_171998	10	25	78	7	0	0	67	34	28	14	6	12	20	103
NM_172002	139	87	315	72	65	57	99	139	433	51	111	76	61	241
NM_172003	188	193	543	240	22	125	373	309	745	244	676	394	574	1147
NM_172014	18	26	124	35	10	19	107	58	57	37	44	71	129	239
NM_172016	247	185	545	174	26	169	237	188	451	84	234	335	231	705
NM_172020	113	117	272	138	59	166	251	149	409	113	337	442	397	835
NM_172027	133	159	213	96	702	199	109	95	232	56	81	350	82	299
NM_172037	803	779	3491	441	94	1097	2724	1623	1284	1184	2501	2306	4630	7951
NM_172056	16	10	21	3	11	0	34	10	59	8	24	13	2	83
NM_172057	12	9	14	4	8	0	29	12	66	6	25	6	3	65
NM_172058	25	19	69	0	0	0	118	54	213	20	22	20	0	47
NM_172059	24	17	66	0	0	0	116	52	207	20	22	20	0	46
NM_172060	24	19	66	0	0	0	111	52	198	20	20	20	0	47
NM_172069	67	32	179	26	11	7	230	237	710	134	230	474	339	623
NM_172070	233	355	916	254	15	113	1774	1347	3889	686	1946	910	1790	4405
NM_172071	222	235	706	232	13	287	1639	1152	3382	765	1804	1496	4440	3748
NM_172087	369	389	678	162	570	156	296	309	631	152	358	615	419	1235
NM_172088	325	346	598	139	536	130	269	310	582	135	323	620	402	1180
NM_172089	361	377	674	163	501	155	339	329	685	152	338	690	446	1239
NM_172101	101	224	159	7	14	8	182	233	683	34	379	12	99	99
NM_172102	88	207	141	6	12	6	171	191	548	30	323	12	90	78
NM_172103	3	38	81	0	0	1	45	84	167	5	21	28	0	68
NM_172105	3	37	80	0	0	1	44	84	170	5	21	28	0	70
NM_172110	813	1185	1776	501	61	1128	653	924	1974	79	1086	189	818	1763
NM_172114	59	76	166	74	6	14	448	284	1108	191	668	458	1085	1785
NM_172115	59	76	166	74	6	14	445	284	1107	191	667	458	1085	1783
NM_172127	213	310	768	266	8	107	796	535	1854	404	1091	627	1866	2955
NM_172128	212	309	765	264	8	107	787	533	1836	398	1083	618	1855	2936
NM_172129	59	76	166	74	6	14	445	284	1108	192	667	458	1085	1784
NM_172130	72	73	191	23	144	43	186	106	186	88	175	371	526	913
NM_172159	36	25	97	11	0	7	30	7	33	5	23	18	2	29
NM_172165	10	20	25	28	4	65	36	20	113	27	42	22	27	368
NM_172166	10	20	25	28	4	65	36	20	113	27	42	22	27	368
NM_172169	170	174	335	204	98	530	274	193	594	161	362	692	624	1498
NM_172170	178	177	345	212	94	534	273	194	596	161	365	705	632	1517
NM_172171	178	178	345	213	98	534	273	195	600	161	366	711	634	1535
NM_172173	175	176	342	207	94	534	271	194	594	161	363	691	624	1505
NM_172175	42	37	102	29	6	53	67	59	131	55	84	70	533	321
NM_172177	266	416	968	532	15	239	708	670	1652	332	1316	579	1029	1826
NM_172193	25	34	138	11	2	3	110	121	360	54	81	37	35	139
NM_172195	374	294	581	307	104	299	241	160	440	118	354	271	263	642
NM_172197	27	21	47	25	22	55	23	4	32	17	20	6	12	61
NM_172198	8	10	29	15	8	0	93	57	87	20	101	158	297	128
NM_172200	47	77	175	72	94	42	140	113	208	37	173	466	355	856
NM_172206	48	36	83	62	136	117	68	49	149	33	229	276	101	306
NM_172207	17	6	14	17	44	6	26	25	60	15	126	115	37	175
NM_172208	100	93	190	107	221	50	1277	773	1337	453	1194	2841	3332	7129
NM_172209	764	587	1609	1028	1365	3411	1987	1228	2128	807	1764	3759	4937	10491
NM_172210	21	35	52	14	51	8	206	67	143	37	259	187	417	1373
NM_172211	82	130	277	66	106	79	418	133	267	75	414	380	830	2410
NM_172212	29	40	72	21	63	11	264	87	169	44	288	239	483	1596
NM_172213	100	224	159	7	14	8	181	233	680	34	379	12	99	99
NM_172214	31	40	41	37	38	6	167	102	221	37	150	264	273	585
NM_172215	27	37	35	36	38	6	154	91	191	33	135	253	261	544
NM_172216	375	377	839	435	179	319	470	333	725	171	517	937	804	1638
NM_172217	259	277	1038	117	28	54	1046	413	789	273	362	464	344	1514
NM_172218	105	204	425	148	20	62	226	259	524	133	400	100	176	658
NM_172219	480	807	336	169	14	3	189	178	1186	132	1294	92	2	206
