"","GSM931711","GSM931712","GSM931713","GSM931714","GSM931715","GSM931716","GSM931717","GSM931718","GSM931719","GSM931720","GSM931721","GSM931722","GSM931723","GSM931724","GSM931725","GSM931726","GSM931727","GSM931728","GSM931729","GSM931730","GSM931731","GSM931732","GSM931733","GSM931734"
"ABCC8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC9",224.8707,137.91201,0,0,0,438.53238,156.10365,0,407.99674,0,243.78352,0,0,116.45511,122.9861,0,370.87403,0,0,0,174.33752,0,0,338.52404
"ABCD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCD2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCD3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370.87403,0,0,0,523.01255,0,0,0
"ABCD4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCE1",0,0,0,0,0,0,0,195.12195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCF1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCF2",0,0,0,0,0,0,0,0,0,0,487.56704,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCG1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCG2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.9861,0,0,0,0,0,0,0,0,0
"ABCG4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCG5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCG8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD10",0,0,0,0,0,146.17746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338.52404
"ABHD11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD11-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD12",0,0,0,462.96296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD12B",0,0,0,0,0,0,0,0,0,99.37394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD13",0,0,0,0,0,0,0,195.12195,0,0,243.78352,0,0,0,0,0,0,0,0,0,0,0,0,338.52404
"ABHD14A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD14A-ACY1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD14B",224.8707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD16A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD16B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD17A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD17B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD17C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD18",0,0,0,0,0,0,156.10365,0,0,0,0,0,0,0,0,252.90845,123.62468,0,0,190.33118,0,0,0,0
"ABHD2",0,0,0,0,959.6929,0,156.10365,0,0,1490.60916,1218.9176,0,1935.48387,0,0,505.81689,0,652.95462,1666.66667,0,0,0,0,338.52404
"ABHD3",0,0,235.79344,0,191.93858,292.35492,156.10365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD4",0,0,0,0,0,0,0,0,0,0,0,0,0,116.45511,0,0,0,0,0,0,0,171.02788,0,0
"ABHD5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABI1",0,0,0,0,0,0,0,0,0,99.37394,0,0,0,116.45511,245.97221,126.45422,123.62468,0,0,0,174.33752,0,259.67281,0
"ABI2",224.8707,0,235.79344,462.96296,0,0,156.10365,0,407.99674,1093.11339,0,2090.59233,215.05376,1281.00617,0,0,123.62468,816.19327,333.33333,190.33118,0,0,0,0
"ABI3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABI3BP",674.6121,137.91201,471.58689,0,0,438.53238,4058.69497,585.36585,0,0,243.78352,0,0,349.36532,491.94441,126.45422,247.24935,0,666.66667,190.33118,0,0,0,338.52404
"ABL1",0,0,0,0,0,0,0,195.12195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519.34562,0
"ABL2",224.8707,0,0,0,0,0,0,0,0,99.37394,487.56704,0,0,0,0,0,123.62468,0,0,0,0,0,0,338.52404
"ABLIM1",0,0,0,0,0,146.17746,156.10365,0,0,99.37394,0,0,2795.69892,116.45511,122.9861,126.45422,0,0,0,0,174.33752,0,0,338.52404
"ABLIM2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABLIM3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505.81689,0,0,0,0,0,0,0,0
"ABO",0,137.91201,0,462.96296,191.93858,0,0,390.2439,407.99674,198.74789,0,696.86411,0,349.36532,0,0,123.62468,163.23865,0,0,174.33752,0,0,0
"ABR",0,0,0,0,0,0,156.10365,0,0,596.24366,0,0,0,0,0,0,0,0,0,0,3312.41282,0,0,0
"ABRA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABRACL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABTB1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABTB2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACAA1",0,0,0,0,0,0,0,0,0,99.37394,0,0,0,0,0,0,0,0,0,190.33118,0,0,0,0
"ACAA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACACA",0,0,0,0,383.87716,0,0,0,0,0,0,696.86412,0,0,0,0,0,0,0,0,0,0,519.34562,677.04808
"ACACB",0,551.64805,0,0,0,0,0,0,4895.96083,0,0,0,0,0,0,0,0,979.43193,0,0,0,171.02788,0,0
"ACAD10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338.52404
"ACAD11",0,0,0,462.96296,0,0,0,0,0,0,0,0,0,116.45511,0,0,0,0,0,0,0,0,0,0
"ACAD8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACAD9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACADL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACADM",0,0,0,0,0,0,156.10365,390.2439,0,0,0,0,0,0,122.9861,0,0,0,0,0,0,0,0,0
"ACADS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACADSB",0,0,0,0,0,0,0,0,0,0,0,0,0,116.45511,122.9861,0,494.4987,0,0,0,1917.71269,0,0,0
"ACADVL",0,0,0,0,0,0,0,0,0,99.37394,0,0,0,0,0,252.90845,0,0,0,0,0,0,0,0
"ACAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259.67281,0
"ACAP1",0,0,0,0,0,0,0,1560.97561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACAP2",224.8707,7723.07268,0,0,0,0,0,195.12195,0,0,0,0,0,349.36532,245.97221,7713.70764,0,0,666.66667,0,0,0,0,0
"ACAP3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACAT1",0,137.91201,235.79344,462.96296,0,146.17746,156.10365,0,407.99674,397.49578,243.78352,0,0,0,0,0,0,163.23865,0,0,0,342.05576,0,0
"ACAT2",224.8707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACBD3",0,3861.53634,0,0,0,0,0,0,0,0,0,0,0,0,0,4552.35205,0,0,0,0,0,0,0,6093.43263
"ACBD4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACBD5",0,0,0,0,0,0,156.10365,0,0,0,0,0,215.05376,0,0,0,0,0,0,0,0,0,0,0
"ACBD6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACBD7",0,0,235.79344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338.52404
"ACCS",0,0,0,0,0,146.17746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACCSL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACE2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACER1",0,0,0,0,0,0,0,0,0,99.37394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACER2",0,0,0,0,0,0,0,0,0,99.37394,243.78352,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACER3",0,137.91201,0,0,0,0,0,0,0,0,243.78352,696.86411,0,0,0,0,0,0,0,0,0,171.02788,519.34562,0
"ACHE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACIN1",0,275.82402,0,0,0,0,312.20731,0,0,695.61761,487.56704,0,430.10753,0,0,126.45422,0,816.19327,0,0,174.33752,0,1558.03687,0
"ACKR1",0,0,0,0,0,292.35492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACKR2",0,0,235.79344,0,191.93858,0,0,195.12195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACKR3",0,0,0,0,0,146.17746,0,0,0,99.37394,0,0,0,0,0,126.45422,0,0,0,0,0,0,0,0
"ACKR4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACLY",0,0,0,0,0,0,0,0,0,0,0,0,645.16129,0,0,0,0,0,0,0,0,0,259.67281,1015.57211
"ACMSD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.62468,0,0,0,0,0,0,0
"ACO1",0,0,235.79344,0,0,0,156.10365,195.12195,0,99.37394,0,0,0,0,0,0,123.62468,0,0,0,0,0,0,0
"ACO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACOD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACOT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACOT11",0,0,0,0,0,0,0,0,407.99674,99.37394,0,0,0,116.45511,0,126.45422,0,0,0,0,0,0,0,0
"ACOT12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACOT13",0,0,0,0,0,0,0,0,0,298.12183,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACOT2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACOT4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACOT6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACOT7",0,0,0,0,0,146.17746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACOT8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACOT9",224.8707,413.73604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
