"","GSM3346551","GSM3346553","GSM3346555","GSM3346557","GSM3346559","GSM3346561","GSM3346563","GSM3346565","GSM3346567","GSM3346569","GSM3346571","GSM3346573","GSM3346575","GSM3346577","GSM3346578","GSM3346580","GSM3346582","GSM3346584","GSM3346586","GSM3346588","GSM3346591","GSM3346593","GSM3346595","GSM3346601","GSM3346603","GSM3346605","GSM3346607","GSM3346609","GSM3346611","GSM3346613","GSM3346615","GSM3346617","GSM3346619","GSM3346621","GSM3346623","GSM3346625","GSM3346626","GSM3346628","GSM3346630","GSM3346632","GSM3346634","GSM3346636","GSM3346638","GSM3346640","GSM3346642","GSM3346644","GSM3346646","GSM3346648","GSM3346650"
"ENTPD7",14.45981,16.99803,14.09937,27.00745,25.24817,18.94519,19.84214,14.46857,18.73017,19.83756,27.59029,14.10581,16.09058,14.54326,24.71348,22.94079,14.86707,28.46572,23.85457,9.03842,20.12816,20.19865,31.2356,20.48585,16.71497,16.33336,15.1049,24.48908,15.33544,21.32572,16.05733,24.64289,25.00862,20.33887,15.42405,13.42491,25.6531,20.78516,10.35461,11.72543,16.67278,18.56298,14.78158,16.47449,19.43945,19.34456,20.48573,14.50759,14.48792
"ENTPD8",1.74959,3.11231,1.44609,2.86759,2.06432,2.38081,3.47599,2.5367,2.97064,2.28704,2.7916,2.02139,1.95295,2.35259,2.20083,6.44939,3.51228,2.77382,4.10852,1.2912,2.076,3.34444,3.54447,2.94445,3.50261,3.65799,2.62875,1.95913,2.82273,2.59054,1.39629,2.94058,2.64554,3.42842,1.6259,3.3334,2.55114,2.68196,1.31018,3.02592,2.27161,2.48735,2.28763,3.25211,1.94837,2.57636,3.11125,2.19405,2.51964
"ENY2",28.09629,30.26127,26.80429,28.36303,28.95335,30.64663,29.25629,29.12504,34.38899,27.14613,30.33536,27.24487,30.39803,33.66336,37.09315,35.75301,34.64171,47.9279,39.24056,19.36804,39.4891,39.78122,37.74856,44.91852,38.66167,39.34468,38.17952,39.52325,35.72652,40.43098,42.58683,46.17953,38.07098,35.11814,41.92179,36.80435,40.20403,38.4274,24.25937,32.57063,44.36075,42.33095,43.9488,33.71922,40.20734,37.07344,45.45651,58.03036,30.90756
"EOGT",30.77213,32.70324,27.88886,37.07007,35.6756,36.21875,35.53239,28.79621,26.333,26.30092,32.10338,32.6499,31.11977,24.21024,38.78962,41.85612,29.78224,42.56216,48.67339,17.40898,40.12092,38.98912,50.33141,42.72584,41.80959,39.59988,41.35071,46.50796,37.32747,50.65437,50.61549,37.19213,36.25217,39.89013,41.61419,30.36587,46.10944,39.1817,21.46997,28.62013,46.46092,38.55387,30.17905,34.44667,33.03378,47.07322,38.95117,27.04502,29.60575
"EOMES",0.92625,1.00552,0.61975,0.67779,2.22311,1.77295,1.40005,0.75161,2.66855,0.79549,1.3958,0.61521,1.06138,1.62542,1.78817,0.99554,0.57736,1.50059,2.13811,1.15763,0.85748,1.76023,2.34821,0.81442,0.93107,1.74393,1.25179,0.85179,2.02226,3.00688,1.00358,1.11825,1.52945,7.13482,1.05464,0.41097,1.88973,1.17336,0.71848,0.33621,1.75729,1.88854,1.01183,1.32652,1.37272,1.35368,0.7273,0.7612,0.83988
"EP300",97.92534,89.06008,87.90155,120.75145,107.29147,127.04423,91.10003,119.5066,120.08454,79.49938,117.10754,74.48395,98.79361,110.4432,106.09833,108.6874,84.96841,93.76408,136.83888,51.51455,124.01832,154.6363,114.04319,100.48717,132.3453,134.62259,100.35163,103.23744,117.16445,123.74469,83.38466,109.54696,136.98938,111.33099,90.12745,94.88765,124.0136,142.56271,89.51455,76.82466,115.89513,156.9792,98.76382,115.49262,155.78128,113.05434,121.33856,149.64311,119.26288
"EP400",106.46744,109.79288,119.1474,148.28028,133.91584,154.65152,117.16999,118.94289,80.66056,132.10122,157.21349,109.50679,122.05914,93.84677,63.1363,107.77843,87.13351,66.84442,104.18034,54.40862,74.14924,98.13288,81.96577,84.38667,73.11136,88.72756,90.9215,84.19985,100.27019,86.78319,97.30392,77.15916,75.72859,115.03739,79.75686,100.50419,82.91195,79.83009,98.55898,69.72216,116.49518,81.06907,53.27527,118.35961,91.04216,110.78365,73.49812,85.34404,110.99007
"EP400NL",18.88523,15.80098,14.04772,21.42869,19.58453,19.70503,17.47653,23.25305,17.92457,19.24094,25.54312,19.55478,13.75553,16.81029,12.97573,21.33926,12.36516,15.91534,18.40449,8.19246,15.93103,18.17439,19.62748,8.7707,17.9564,17.99221,18.2761,9.62527,19.04291,11.05607,15.83916,10.14707,15.87324,17.37375,18.54402,14.24685,17.43277,19.5699,14.11608,11.47327,24.21625,14.37134,15.08953,25.93128,20.23651,18.64589,19.63721,19.74644,19.86315
"EPAS1",527.29426,225.66675,381.66419,201.82593,307.53006,924.56587,276.92092,612.1425,594.88421,264.20245,531.84595,145.7161,583.08181,323.75854,1800.00363,1649.87567,1199.37283,1813.48452,2118.31951,208.23987,866.32305,1671.60345,1470.82038,2591.80481,1289.26931,2387.05207,1044.19941,2064.74887,987.6192,2869.58156,1945.55475,1371.0144,1120.55165,924.42252,1100.02952,2573.70186,1466.7147,2136.13582,488.82211,1170.60941,2267.19854,2285.77935,1351.59052,865.36021,1504.71967,1535.33819,1797.57244,737.55876,816.11084
"EPB41",36.32963,31.55408,30.6261,28.83228,41.39217,43.05725,28.87007,29.82967,54.73035,32.31682,38.94279,29.22232,30.44049,48.07829,50.48153,39.21577,26.55864,49.70133,50.85342,20.52567,43.68622,58.35166,49.00224,54.87953,41.05586,55.67803,50.19668,49.40406,40.78216,63.05197,38.39796,38.84879,46.79299,51.51896,38.45028,39.72678,49.36922,51.50193,25.35823,34.75601,45.98945,49.28631,46.19243,38.0411,53.80167,43.36151,50.9921,79.92608,37.45862
"EPB41L1",96.02138,109.17042,101.17458,105.11007,79.60847,129.37438,108.96278,138.01509,62.03109,85.41585,99.0552,84.59092,108.81307,74.55557,82.94377,183.22333,140.29891,120.95657,173.73171,51.60359,144.14648,111.77467,138.76584,177.4814,113.98987,135.89863,127.09816,141.61077,121.84092,146.36568,215.77035,128.76427,117.43719,136.44185,137.71791,155.20843,130.95836,111.30116,81.73802,175.16694,191.71558,121.55755,115.39309,116.00611,140.59283,176.06609,179.48249,70.83645,107.16861
"EPB41L2",17.90752,12.83231,16.01027,11.73103,10.63916,12.41062,11.82804,20.66938,10.06998,13.42391,13.49272,10.94189,18.38317,13.43112,12.60892,12.63908,9.76704,12.36849,15.72138,12.82298,11.59851,11.30948,10.19034,11.84045,12.54731,12.07988,12.80996,9.07161,13.86088,17.43991,12.13026,12.17649,15.33587,13.34304,16.0832,19.95472,10.01557,11.60784,15.04588,5.75765,12.64388,14.64771,8.27064,21.48103,15.40986,13.14382,9.57617,28.47786,19.65318
"EPB41L3",36.17526,20.2061,34.34461,13.86869,39.64544,22.44043,16.60753,23.11213,29.90785,14.46799,41.78092,14.28158,48.95102,33.19284,16.41452,15.366,38.00965,12.50491,11.65478,11.9325,7.94295,38.90111,13.60189,40.34522,10.86251,38.19624,23.11634,28.40733,32.94592,30.16132,16.4064,8.44899,18.43611,42.06764,8.78864,23.9274,20.31461,12.61357,13.48212,5.88373,26.14498,24.64316,23.31618,43.34717,36.62056,14.27917,5.05072,10.25382,24.60847
"EPB41L4A",45.54069,51.85595,55.3129,56.51752,52.66651,62.0531,59.91263,54.21015,37.91348,44.74637,59.18188,48.1619,61.98481,40.29337,41.17386,56.09672,45.99649,43.69897,55.08771,23.77594,39.71475,55.05123,64.24344,65.27907,37.99662,48.23444,47.81828,54.51482,50.17722,50.56185,60.52042,48.99586,46.79299,70.18995,47.19497,43.28849,49.84165,40.48077,36.64264,40.84987,56.53317,51.58941,40.38538,54.55839,45.6982,54.45298,51.43656,23.77633,43.42177
"EPB41L4A-AS2",1.90396,2.1068,1.54938,1.56414,2.11725,1.87426,2.89666,2.11391,2.46715,1.69042,2.23328,2.46083,2.20768,2.26704,1.83402,2.64036,1.4434,2.00079,3.43774,0.57882,1.53443,2.2883,2.48113,2.19268,1.59612,1.61632,2.46185,2.25725,2.14865,2.49802,3.31619,3.2305,3.01757,2.59448,2.06533,2.05483,1.65351,1.04764,1.18338,2.01728,2.52878,1.3358,2.4636,1.75443,1.46128,1.61569,1.65664,0.7612,2.26767
"EPB41L4B",103.22556,186.06853,137.22351,172.05517,128.04049,140.31599,189.20033,142.85361,90.62984,159.24735,139.90559,150.50593,137.08833,95.42942,91.60954,183.43975,202.41341,116.86405,157.67495,66.60826,86.69549,65.39259,123.03727,197.59137,74.17544,91.49232,167.48917,150.00094,131.53089,113.33626,227.07156,163.05724,83.00383,184.16176,141.18942,140.23097,126.18679,70.98802,104.39137,112.58931,187.85812,59.55813,71.35631,126.66104,105.30071,164.62528,113.54025,77.68725,124.09218
"EPB41L5",19.60565,19.15271,18.23105,16.99697,17.46728,22.13649,19.6973,19.0722,21.34836,19.73812,20.84393,17.05001,22.6287,15.65539,24.98859,31.51112,25.45203,31.55784,30.52044,9.12747,28.88345,24.20318,30.52671,23.24236,28.24253,24.96792,25.99545,25.68159,28.39584,31.54911,26.57313,23.77314,29.67965,19.73658,26.36591,27.58043,31.2278,34.06922,17.49718,27.3173,28.45946,28.78873,30.57499,22.37964,24.70891,27.07365,35.75912,21.98527,29.05983
